minute,sex,mean_activity
min1,female,3.7352898917748916
min1,male,4.530101697722567
min10,female,3.2712039826839825
min10,male,4.355655590062112
min100,female,1.8943005411255411
min100,male,2.8701274120082814
min1000,female,13.447825779220778
min1000,male,12.072016687370601
min1001,female,13.466764329004329
min1001,male,12.190247763975155
min1002,female,13.109746082251082
min1002,male,11.726885341614906
min1003,female,13.006192813852813
min1003,male,12.181771407867496
min1004,female,12.806004935064935
min1004,male,11.778276708074534
min1005,female,12.609352186147186
min1005,male,11.54541364389234
min1006,female,12.743250064935065
min1006,male,11.457622422360249
min1007,female,12.433065887445888
min1007,male,11.613000952380952
min1008,female,12.483589805194805
min1008,male,11.65408430641822
min1009,female,12.228183744588744
min1009,male,11.571783830227744
min101,female,2.0294527705627705
min101,male,2.791189068322981
min1010,female,12.448776818181818
min1010,male,11.907012339544513
min1011,female,12.926152467532468
min1011,male,11.415624099378881
min1012,female,12.851919653679653
min1012,male,11.55117281573499
min1013,female,13.078617900432901
min1013,male,11.621090683229813
min1014,female,12.877273549783549
min1014,male,11.593740807453417
min1015,female,12.918294783549783
min1015,male,11.533521801242236
min1016,female,12.817338333333334
min1016,male,11.259566211180124
min1017,female,13.168197056277057
min1017,male,11.755523788819875
min1018,female,13.057003181818182
min1018,male,11.53255784679089
min1019,female,13.09548554112554
min1019,male,11.603282173913044
min102,female,1.8600166233766233
min102,male,2.708258033126294
min1020,female,13.385107532467533
min1020,male,11.623739585921324
min1021,female,13.457174112554112
min1021,male,11.360513933747413
min1022,female,13.46639261904762
min1022,male,11.391778861283644
min1023,female,13.263239372294372
min1023,male,11.658640538302278
min1024,female,13.574941233766234
min1024,male,11.793131904761905
min1025,female,13.479978896103896
min1025,male,11.819145610766046
min1026,female,13.106452597402598
min1026,male,11.875850869565218
min1027,female,13.642447597402597
min1027,male,11.77380016563147
min1028,female,13.056453744588744
min1028,male,11.894466211180124
min1029,female,13.492523246753246
min1029,male,11.632640124223602
min103,female,2.172978658008658
min103,male,2.629211946169772
min1030,female,13.302171428571429
min1030,male,11.624387888198758
min1031,female,13.37639158008658
min1031,male,11.934782960662526
min1032,female,13.503674761904762
min1032,male,12.128735921325053
min1033,female,13.546007489177489
min1033,male,12.136748115942028
min1034,female,13.219448181818182
min1034,male,12.178165507246376
min1035,female,13.309474675324676
min1035,male,12.583313354037267
min1036,female,13.260665865800865
min1036,male,12.350518695652173
min1037,female,13.169851580086581
min1037,male,12.553472608695651
min1038,female,13.28433774891775
min1038,male,12.24490039337474
min1039,female,13.445061125541125
min1039,male,12.166294782608695
min104,female,1.9920817965367965
min104,male,2.8453524016563145
min1040,female,13.498029372294372
min1040,male,11.905092401656315
min1041,female,13.385079696969697
min1041,male,11.791978550724638
min1042,female,13.274372683982683
min1042,male,12.061027246376812
min1043,female,13.238937813852814
min1043,male,12.192502443064182
min1044,female,13.86906287878788
min1044,male,12.111762505175983
min1045,female,13.176527077922078
min1045,male,11.892615320910974
min1046,female,12.90977054112554
min1046,male,11.648341159420289
min1047,female,12.769781147186148
min1047,male,11.900271076604556
min1048,female,12.773755887445887
min1048,male,11.526824409937888
min1049,female,13.46898106060606
min1049,male,11.977944616977226
min105,female,2.003802186147186
min105,male,2.5879633126293995
min1050,female,13.376732922077922
min1050,male,11.97359629399586
min1051,female,13.437524177489177
min1051,male,11.393433664596273
min1052,female,13.574044307359307
min1052,male,11.371079482401656
min1053,female,13.09905015151515
min1053,male,11.532562774327122
min1054,female,12.857722792207792
min1054,male,11.291300248447206
min1055,female,13.03713
min1055,male,11.254870517598343
min1056,female,13.66579119047619
min1056,male,11.187625010351967
min1057,female,13.013298896103896
min1057,male,11.128221573498964
min1058,female,12.896495346320346
min1058,male,11.105992070393375
min1059,female,13.482305844155844
min1059,male,11.071665983436853
min106,female,1.916114826839827
min106,male,2.475372049689441
min1060,female,12.846799393939394
min1060,male,11.382985921325051
min1061,female,13.750200324675324
min1061,male,11.60824685300207
min1062,female,14.053612532467533
min1062,male,11.853875051759834
min1063,female,13.53995567099567
min1063,male,11.473321283643893
min1064,female,13.271412359307359
min1064,male,11.283759751552795
min1065,female,13.182670454545455
min1065,male,11.614247701863354
min1066,female,13.51021183982684
min1066,male,11.417872070393376
min1067,female,13.663535497835499
min1067,male,11.456463995859213
min1068,female,13.486638203463205
min1068,male,11.699325051759834
min1069,female,13.36437145021645
min1069,male,12.03375198757764
min107,female,1.9851340476190475
min107,male,2.559561884057971
min1070,female,13.189376666666666
min1070,male,11.910654389233954
min1071,female,14.02035396103896
min1071,male,11.82264049689441
min1072,female,13.806480714285714
min1072,male,11.805144989648033
min1073,female,13.52232935064935
min1073,male,11.96263486542443
min1074,female,13.419212662337662
min1074,male,12.358852629399586
min1075,female,13.19904393939394
min1075,male,12.003077287784679
min1076,female,13.230720627705628
min1076,male,11.959353664596273
min1077,female,13.019524632034631
min1077,male,11.586583457556936
min1078,female,13.357536623376623
min1078,male,11.262521511387163
min1079,female,13.14217987012987
min1079,male,10.79691635610766
min108,female,1.990850541125541
min108,male,2.636004099378882
min1080,female,13.173113354978355
min1080,male,11.190815942028985
min1081,female,13.121945974025975
min1081,male,11.435161118012422
min1082,female,13.117827186147187
min1082,male,11.511276418219461
min1083,female,13.766552813852813
min1083,male,11.755191614906833
min1084,female,13.877524415584416
min1084,male,11.270659523809524
min1085,female,13.812816666666667
min1085,male,12.02909844720497
min1086,female,13.161935216450216
min1086,male,11.972828364389233
min1087,female,13.169528636363637
min1087,male,11.617186045548655
min1088,female,13.302922489177488
min1088,male,11.326819192546584
min1089,female,13.534665346320347
min1089,male,11.26211519668737
min109,female,1.833077922077922
min109,male,2.5646318426501034
min1090,female,12.90458316017316
min1090,male,11.766915486542443
min1091,female,13.794992683982684
min1091,male,11.658414451345756
min1092,female,13.404535
min1092,male,11.74060579710145
min1093,female,13.844272121212121
min1093,male,11.76602486542443
min1094,female,13.629148225108224
min1094,male,11.545621759834368
min1095,female,13.614846255411255
min1095,male,11.402081511387163
min1096,female,14.315500043290044
min1096,male,11.494596128364389
min1097,female,14.190788463203463
min1097,male,11.83463281573499
min1098,female,13.831404783549784
min1098,male,12.06332917184265
min1099,female,13.986494523809524
min1099,male,11.527534534161491
min11,female,3.7596606926406926
min11,male,4.285460745341615
min110,female,1.9358362987012987
min110,male,2.601463540372671
min1100,female,13.890094134199135
min1100,male,11.764170455486543
min1101,female,13.790498181818181
min1101,male,11.285790144927535
min1102,female,14.147730346320346
min1102,male,11.38038801242236
min1103,female,13.966398463203463
min1103,male,11.610495445134577
min1104,female,13.457574329004329
min1104,male,11.410991532091098
min1105,female,13.199085822510822
min1105,male,11.975191801242236
min1106,female,13.614242467532467
min1106,male,11.872447329192546
min1107,female,13.268560692640692
min1107,male,11.776261366459627
min1108,female,13.479305627705628
min1108,male,11.973964430641821
min1109,female,12.912929155844155
min1109,male,12.210132898550725
min111,female,1.9408022294372294
min111,male,2.4776791925465838
min1110,female,13.303046926406926
min1110,male,12.154684327122153
min1111,female,13.634833116883117
min1111,male,12.608620476190476
min1112,female,13.431082922077922
min1112,male,11.959642774327122
min1113,female,13.0515970995671
min1113,male,11.854898426501036
min1114,female,13.321175822510822
min1114,male,11.577487722567287
min1115,female,13.58536829004329
min1115,male,11.347488157349897
min1116,female,13.336877056277057
min1116,male,11.295927639751554
min1117,female,13.270925670995672
min1117,male,11.033118219461699
min1118,female,13.206328333333333
min1118,male,11.150733498964803
min1119,female,12.985508961038962
min1119,male,11.015201925465838
min112,female,1.927473051948052
min112,male,2.674277971014493
min1120,female,12.638362878787879
min1120,male,11.202629399585922
min1121,female,12.790731515151515
min1121,male,11.775648633540373
min1122,female,12.757489199134199
min1122,male,11.118067826086957
min1123,female,12.771922424242424
min1123,male,10.979907308488613
min1124,female,12.622889372294372
min1124,male,11.34380039337474
min1125,female,13.405972316017316
min1125,male,11.743823167701864
min1126,female,12.82023683982684
min1126,male,11.394073664596274
min1127,female,12.594806147186148
min1127,male,10.964488654244306
min1128,female,12.771264458874459
min1128,male,11.347927060041409
min1129,female,12.922095151515151
min1129,male,11.369040807453416
min113,female,2.0425528138528137
min113,male,2.480978861283644
min1130,female,12.785972142857142
min1130,male,11.28298370600414
min1131,female,12.646288290043291
min1131,male,11.945154824016564
min1132,female,12.899104134199135
min1132,male,12.032894430641822
min1133,female,12.69531761904762
min1133,male,11.94534983436853
min1134,female,12.46014906926407
min1134,male,11.727727991718426
min1135,female,12.749731904761905
min1135,male,11.580829089026915
min1136,female,12.511834285714286
min1136,male,11.340554265010352
min1137,female,12.799470194805195
min1137,male,11.47372155279503
min1138,female,12.509697251082251
min1138,male,11.548239772256728
min1139,female,12.608656082251082
min1139,male,11.075921966873706
min114,female,1.8198136796536797
min114,male,2.371092795031056
min1140,female,12.960121363636363
min1140,male,11.526614265010352
min1141,female,12.877623441558441
min1141,male,11.531217474120083
min1142,female,12.587876818181819
min1142,male,11.604443002070393
min1143,female,12.964605281385282
min1143,male,11.86731016563147
min1144,female,12.708064545454546
min1144,male,12.452741987577639
min1145,female,12.845746255411255
min1145,male,12.147978260869566
min1146,female,12.688164675324675
min1146,male,11.88412231884058
min1147,female,12.566382683982685
min1147,male,11.767653726708074
min1148,female,12.387469567099567
min1148,male,11.769738343685301
min1149,female,12.335982554112555
min1149,male,11.755204679089028
min115,female,2.119657056277056
min115,male,2.3954748033126294
min1150,female,12.211787965367966
min1150,male,11.644057018633541
min1151,female,12.285389393939393
min1151,male,11.56304347826087
min1152,female,12.522346948051949
min1152,male,11.288873519668737
min1153,female,12.836887575757576
min1153,male,11.332487267080745
min1154,female,13.26323038961039
min1154,male,11.855872422360248
min1155,female,13.109481125541125
min1155,male,12.10602602484472
min1156,female,13.27546854978355
min1156,male,11.552939026915114
min1157,female,13.247256515151514
min1157,male,11.471622298136646
min1158,female,12.46656512987013
min1158,male,11.840488322981367
min1159,female,12.478729264069264
min1159,male,11.786178592132504
min116,female,2.2872915800865803
min116,male,2.2348984057971015
min1160,female,12.364041753246754
min1160,male,11.718553043478261
min1161,female,12.307815822510822
min1161,male,11.247591428571429
min1162,female,12.338606883116883
min1162,male,11.852746376811595
min1163,female,12.210805865800866
min1163,male,11.545646625258799
min1164,female,12.307146515151516
min1164,male,11.665354989648034
min1165,female,12.516403398268398
min1165,male,12.281322443064182
min1166,female,12.401511515151515
min1166,male,11.890110579710145
min1167,female,12.52700738095238
min1167,male,11.709184824016562
min1168,female,12.660598138528139
min1168,male,11.55157917184265
min1169,female,12.654581536796536
min1169,male,11.002180910973085
min117,female,2.1260571861471864
min117,male,2.470515486542443
min1170,female,13.136672445887447
min1170,male,11.17759364389234
min1171,female,12.848147142857144
min1171,male,11.073432919254659
min1172,female,12.969026125541125
min1172,male,11.40562602484472
min1173,female,12.550624393939394
min1173,male,11.139336480331263
min1174,female,12.552256212121213
min1174,male,11.33589761904762
min1175,female,12.762825086580087
min1175,male,11.80581900621118
min1176,female,12.425515151515151
min1176,male,11.420860414078675
min1177,female,12.44728212121212
min1177,male,11.056138364389234
min1178,female,12.437501471861472
min1178,male,11.23334817805383
min1179,female,12.08733248917749
min1179,male,11.413034658385094
min118,female,2.0709650216450215
min118,male,2.5357842443064182
min1180,female,11.953121103896104
min1180,male,11.131839213250517
min1181,female,12.335757251082251
min1181,male,11.642588799171843
min1182,female,12.348960281385281
min1182,male,11.646219917184265
min1183,female,12.193940411255412
min1183,male,11.972554513457556
min1184,female,11.597155714285714
min1184,male,12.271716894409938
min1185,female,11.65042116883117
min1185,male,11.61070258799172
min1186,female,11.97087958874459
min1186,male,12.39342221532091
min1187,female,12.291318463203464
min1187,male,12.02834917184265
min1188,female,12.219930909090909
min1188,male,11.580968902691511
min1189,female,11.86171261904762
min1189,male,11.505372629399586
min119,female,1.930104805194805
min119,male,2.6590608074534163
min1190,female,12.014491341991341
min1190,male,11.56474635610766
min1191,female,12.244984978354978
min1191,male,11.51768950310559
min1192,female,11.556001277056277
min1192,male,11.221342236024844
min1193,female,12.301453528138529
min1193,male,10.474144989648034
min1194,female,12.346548506493507
min1194,male,10.966391283643892
min1195,female,12.3003937012987
min1195,male,10.6655883436853
min1196,female,12.063919718614718
min1196,male,10.751425238095239
min1197,female,11.90631077922078
min1197,male,10.913233830227743
min1198,female,11.203649264069265
min1198,male,10.817966480331263
min1199,female,11.77416725108225
min1199,male,10.908386293995859
min12,female,3.5043135281385283
min12,male,4.510959378881988
min120,female,1.873067380952381
min120,male,2.6518041614906833
min1200,female,11.57267145021645
min1200,male,11.162683478260869
min1201,female,11.770687922077922
min1201,male,11.34943
min1202,female,11.632946125541126
min1202,male,11.020180579710145
min1203,female,11.701144090909091
min1203,male,11.26853519668737
min1204,female,11.662434696969697
min1204,male,10.991186583850931
min1205,female,12.308901926406927
min1205,male,11.424476376811594
min1206,female,12.251855822510823
min1206,male,11.374046604554865
min1207,female,12.004068636363636
min1207,male,11.5455084057971
min1208,female,11.746351558441559
min1208,male,11.721564948240166
min1209,female,11.758058398268398
min1209,male,11.176520621118012
min121,female,1.8975484632034632
min121,male,2.417543291925466
min1210,female,11.807404675324674
min1210,male,11.125857577639751
min1211,female,11.7923708008658
min1211,male,10.720996397515528
min1212,female,11.706863463203463
min1212,male,11.317730248447205
min1213,female,11.887401818181818
min1213,male,11.64063778467909
min1214,female,11.92011
min1214,male,11.759269358178054
min1215,female,11.863314155844156
min1215,male,11.414077101449275
min1216,female,12.064891017316018
min1216,male,11.00977033126294
min1217,female,11.675766731601732
min1217,male,10.743700455486543
min1218,female,12.459601277056278
min1218,male,10.60608519668737
min1219,female,11.757143961038961
min1219,male,10.819976728778467
min122,female,1.940030606060606
min122,male,2.352315155279503
min1220,female,11.985328354978355
min1220,male,10.783627370600414
min1221,female,12.129388874458874
min1221,male,11.171126045548654
min1222,female,11.740159220779221
min1222,male,10.864027722567288
min1223,female,11.441201255411256
min1223,male,10.470701055900621
min1224,female,11.62010800865801
min1224,male,10.42912635610766
min1225,female,11.177758961038961
min1225,male,10.022115051759835
min1226,female,11.530834545454546
min1226,male,10.278353664596272
min1227,female,11.108713874458875
min1227,male,10.348942049689441
min1228,female,11.78961673160173
min1228,male,10.17842966873706
min1229,female,11.507300454545454
min1229,male,10.40527966873706
min123,female,1.8499139826839825
min123,male,2.2465869565217393
min1230,female,11.781287294372294
min1230,male,10.305125569358179
min1231,female,11.805770606060607
min1231,male,10.425429813664596
min1232,female,11.391109826839827
min1232,male,10.30324215320911
min1233,female,11.355485974025974
min1233,male,10.053570082815735
min1234,female,11.679239545454545
min1234,male,10.226474658385094
min1235,female,11.531715497835497
min1235,male,10.245709254658385
min1236,female,11.316775411255412
min1236,male,9.971561718426502
min1237,female,11.13965393939394
min1237,male,10.153173167701864
min1238,female,10.677670497835498
min1238,male,9.807214761904762
min1239,female,11.291153766233766
min1239,male,10.088178364389234
min124,female,1.7961224675324676
min124,male,2.3689715527950312
min1240,female,11.714471601731601
min1240,male,10.422238240165631
min1241,female,11.219948095238095
min1241,male,10.388646604554864
min1242,female,10.6888170995671
min1242,male,10.425952194616977
min1243,female,10.713445822510822
min1243,male,9.983359751552795
min1244,female,11.171703722943723
min1244,male,10.043816977225672
min1245,female,11.00174932900433
min1245,male,10.230420952380953
min1246,female,10.904213181818182
min1246,male,10.325553995859213
min1247,female,11.009363311688311
min1247,male,10.512165341614907
min1248,female,10.76914090909091
min1248,male,10.11225182194617
min1249,female,10.94085738095238
min1249,male,10.361270351966875
min125,female,1.920627619047619
min125,male,2.368967060041408
min1250,female,11.32067906926407
min1250,male,9.92947801242236
min1251,female,11.29486841991342
min1251,male,9.735199254658385
min1252,female,10.8655712987013
min1252,male,9.479228633540373
min1253,female,10.507026904761904
min1253,male,9.773159151138717
min1254,female,10.860029480519481
min1254,male,10.014844409937888
min1255,female,10.947980541125542
min1255,male,10.087579710144928
min1256,female,11.096575606060606
min1256,male,9.701019958592132
min1257,female,11.57964867965368
min1257,male,9.469078819875776
min1258,female,11.158786125541125
min1258,male,9.84667658385093
min1259,female,11.10263645021645
min1259,male,9.696584265010351
min126,female,1.8722867748917749
min126,male,2.319805238095238
min1260,female,11.136703744588745
min1260,male,10.240875507246377
min1261,female,11.060100194805194
min1261,male,10.235596915113872
min1262,female,11.119086536796537
min1262,male,10.636774182194618
min1263,female,11.1260812987013
min1263,male,10.57580546583851
min1264,female,11.135359177489178
min1264,male,10.402236211180124
min1265,female,10.942908593073593
min1265,male,10.43437347826087
min1266,female,11.295705844155844
min1266,male,10.481853105590062
min1267,female,10.836962835497836
min1267,male,9.783980517598344
min1268,female,11.011693896103896
min1268,male,10.443555155279503
min1269,female,11.392246233766233
min1269,male,9.91492695652174
min127,female,1.6751800432900432
min127,male,2.1808223188405798
min1270,female,10.700182186147186
min1270,male,9.961036666666667
min1271,female,10.367250432900432
min1271,male,9.94493761904762
min1272,female,10.796044069264068
min1272,male,9.821902960662525
min1273,female,11.160150454545454
min1273,male,9.613220786749482
min1274,female,11.108765844155844
min1274,male,9.46418033126294
min1275,female,11.223594285714286
min1275,male,9.760750289855073
min1276,female,11.451231774891776
min1276,male,10.117050124223603
min1277,female,10.930191818181818
min1277,male,10.074909937888199
min1278,female,10.449607813852813
min1278,male,9.799590890269151
min1279,female,11.106331385281385
min1279,male,9.802356107660456
min128,female,1.6917673593073592
min128,male,2.3011638302277433
min1280,female,10.819909437229438
min1280,male,9.67835082815735
min1281,female,10.625879264069264
min1281,male,9.4264116563147
min1282,female,10.851489935064935
min1282,male,9.807824202898551
min1283,female,11.015905584415584
min1283,male,9.951201573498965
min1284,female,10.952258852813852
min1284,male,9.599195113871636
min1285,female,10.854524112554113
min1285,male,9.7948017184265
min1286,female,10.553434935064935
min1286,male,10.02975033126294
min1287,female,10.342196948051948
min1287,male,9.764084844720497
min1288,female,10.209680779220779
min1288,male,10.23949265010352
min1289,female,10.553759978354979
min1289,male,9.793836770186335
min129,female,1.7127937445887447
min129,male,2.328377619047619
min1290,female,10.29684038961039
min1290,male,9.714751449275361
min1291,female,10.167342922077921
min1291,male,9.64776248447205
min1292,female,10.026725216450217
min1292,male,9.86769115942029
min1293,female,10.378062207792208
min1293,male,9.691814430641822
min1294,female,10.200507792207793
min1294,male,9.435201697722567
min1295,female,9.883948939393939
min1295,male,9.172357060041408
min1296,female,9.944440108225109
min1296,male,9.177010186335403
min1297,female,9.4594137012987
min1297,male,8.757636293995859
min1298,female,9.662456536796537
min1298,male,8.733179026915113
min1299,female,10.108116233766234
min1299,male,8.482169585921325
min13,female,3.6080291125541124
min13,male,4.510010724637681
min130,female,1.7916516450216449
min130,male,2.1866308695652172
min1300,female,9.836214632034633
min1300,male,8.618276501035197
min1301,female,9.468272792207792
min1301,male,8.978247556935818
min1302,female,9.134889004329004
min1302,male,8.795880372670808
min1303,female,9.357606082251083
min1303,male,8.72985817805383
min1304,female,9.680993268398268
min1304,male,8.476607163561077
min1305,female,8.875491493506493
min1305,male,8.517549917184265
min1306,female,9.081063766233767
min1306,male,8.287116728778468
min1307,female,8.92319619047619
min1307,male,7.967964472049689
min1308,female,8.977998073593074
min1308,male,8.010851801242236
min1309,female,9.015644372294373
min1309,male,8.34399712215321
min131,female,1.715631883116883
min131,male,2.2358170807453415
min1310,female,8.707981147186148
min1310,male,8.11097867494824
min1311,female,9.20561593073593
min1311,male,8.018715217391305
min1312,female,8.886616688311689
min1312,male,8.078585238095238
min1313,female,8.700249329004329
min1313,male,8.373923105590062
min1314,female,8.885624848484849
min1314,male,8.232548923395445
min1315,female,8.737953181818181
min1315,male,8.171554472049689
min1316,female,8.835034502164502
min1316,male,8.085954989648034
min1317,female,8.954229696969698
min1317,male,8.078714844720498
min1318,female,8.689452402597402
min1318,male,8.121300683229814
min1319,female,8.89720564935065
min1319,male,8.087445383022775
min132,female,1.7715183549783549
min132,male,2.323952463768116
min1320,female,8.918115930735931
min1320,male,8.132430144927536
min1321,female,9.18951735930736
min1321,male,8.46743275362319
min1322,female,8.832362987012987
min1322,male,8.04177238095238
min1323,female,8.616302337662338
min1323,male,8.066789585921326
min1324,female,8.591225606060606
min1324,male,8.511624658385093
min1325,female,8.411803354978355
min1325,male,8.945560621118013
min1326,female,8.461861255411256
min1326,male,8.470402960662526
min1327,female,8.727219199134199
min1327,male,8.454089192546585
min1328,female,8.471850432900434
min1328,male,8.249717246376811
min1329,female,8.406510346320346
min1329,male,8.00729122153209
min133,female,1.562719090909091
min133,male,2.157115175983437
min1330,female,8.138731623376623
min1330,male,7.939796935817805
min1331,female,8.748579177489177
min1331,male,7.990940703933747
min1332,female,9.109639437229438
min1332,male,7.672265983436853
min1333,female,8.685058852813853
min1333,male,8.023039130434782
min1334,female,8.241233138528138
min1334,male,8.032016666666667
min1335,female,8.18769054112554
min1335,male,7.627195507246377
min1336,female,8.314355086580086
min1336,male,8.086963561076605
min1337,female,8.358566883116882
min1337,male,8.358204244306418
min1338,female,8.286723658008658
min1338,male,8.608343747412007
min1339,female,8.14649867965368
min1339,male,8.315615776397516
min134,female,1.6318699134199135
min134,male,2.21167347826087
min1340,female,8.50217764069264
min1340,male,8.240245714285715
min1341,female,8.726425432900433
min1341,male,8.110953892339545
min1342,female,8.375603181818182
min1342,male,8.0290783436853
min1343,female,8.38660603896104
min1343,male,8.311507287784679
min1344,female,8.443535043290042
min1344,male,8.138100186335404
min1345,female,8.484716731601731
min1345,male,7.62563701863354
min1346,female,7.696840800865801
min1346,male,7.443822857142857
min1347,female,8.116924761904762
min1347,male,7.586321697722568
min1348,female,8.201288181818182
min1348,male,8.252328240165632
min1349,female,8.279465411255412
min1349,male,8.140027391304347
min135,female,1.625542619047619
min135,male,2.1244546376811595
min1350,female,8.138894523809524
min1350,male,8.09523546583851
min1351,female,8.190717077922077
min1351,male,7.827323519668737
min1352,female,7.607734783549784
min1352,male,7.713313954451346
min1353,female,8.39109329004329
min1353,male,7.634869958592132
min1354,female,8.209759718614718
min1354,male,7.343296915113871
min1355,female,7.781719761904762
min1355,male,7.297841677018633
min1356,female,8.070798939393939
min1356,male,7.522665672877847
min1357,female,8.06224196969697
min1357,male,7.279424078674948
min1358,female,7.672915367965368
min1358,male,7.425692049689441
min1359,female,7.338750432900433
min1359,male,7.51844397515528
min136,female,1.678415735930736
min136,male,1.8846373291925465
min1360,female,7.7349101731601735
min1360,male,7.485951138716356
min1361,female,7.306741536796537
min1361,male,7.438424265010352
min1362,female,7.179706904761905
min1362,male,7.68606917184265
min1363,female,7.214467337662338
min1363,male,7.388036542443064
min1364,female,6.958556125541126
min1364,male,7.254341614906832
min1365,female,7.409263203463204
min1365,male,7.4495166873706005
min1366,female,7.255713095238096
min1366,male,7.22329281573499
min1367,female,7.191291601731602
min1367,male,7.169437225672878
min1368,female,7.222792705627706
min1368,male,7.030646604554866
min1369,female,6.8755857792207795
min1369,male,7.1032950103519665
min137,female,1.7700588528138528
min137,male,2.1240037267080747
min1370,female,6.851280909090909
min1370,male,7.1953516563147
min1371,female,6.665394415584416
min1371,male,7.261570227743271
min1372,female,6.582350173160173
min1372,male,6.893709565217391
min1373,female,6.551256168831169
min1373,male,6.701589710144928
min1374,female,6.492987619047619
min1374,male,6.815429648033126
min1375,female,6.401720670995671
min1375,male,6.341492008281573
min1376,female,6.377706948051948
min1376,male,6.685258654244307
min1377,female,5.998611515151516
min1377,male,6.543247474120083
min1378,female,6.21952564935065
min1378,male,6.648454865424431
min1379,female,6.37900329004329
min1379,male,6.794629296066253
min138,female,1.7430544372294372
min138,male,1.9832324016563148
min1380,female,6.8226429437229434
min1380,male,6.8751448033126294
min1381,female,7.321625476190476
min1381,male,7.252567494824016
min1382,female,6.946793831168831
min1382,male,7.350971345755694
min1383,female,6.695460064935065
min1383,male,7.389422505175983
min1384,female,6.614762164502165
min1384,male,7.097745942028985
min1385,female,6.439518528138528
min1385,male,6.990308861283644
min1386,female,6.141572121212121
min1386,male,7.021080683229814
min1387,female,6.243074740259741
min1387,male,6.796053084886128
min1388,female,6.308029783549784
min1388,male,6.7338214492753625
min1389,female,6.250443073593074
min1389,male,6.490508612836439
min139,female,1.7603172510822511
min139,male,2.1091127329192547
min1390,female,6.371447575757576
min1390,male,6.3711928157349895
min1391,female,6.0175880086580085
min1391,male,6.4007060869565215
min1392,female,6.163120389610389
min1392,male,6.179535879917184
min1393,female,6.36316183982684
min1393,male,6.522467494824016
min1394,female,6.37249696969697
min1394,male,6.227690807453416
min1395,female,5.999284307359307
min1395,male,6.21690751552795
min1396,female,6.125671406926407
min1396,male,6.12620486542443
min1397,female,6.076072640692641
min1397,male,6.013288861283644
min1398,female,5.8151244372294375
min1398,male,5.900541138716356
min1399,female,5.699643225108225
min1399,male,6.102559254658385
min14,female,3.817491341991342
min14,male,4.554865051759834
min140,female,1.7073624025974026
min140,male,2.0924768322981366
min1400,female,5.593094329004329
min1400,male,6.203133167701863
min1401,female,5.858294588744589
min1401,male,5.942268136645962
min1402,female,5.843992575757576
min1402,male,6.125390559006211
min1403,female,5.7462379004329005
min1403,male,5.970689606625259
min1404,female,5.785902316017316
min1404,male,6.023847619047619
min1405,female,5.510463571428572
min1405,male,5.451750890269151
min1406,female,5.596089523809524
min1406,male,5.584766418219462
min1407,female,5.634200303030303
min1407,male,5.546028364389234
min1408,female,5.1544555194805195
min1408,male,5.181607308488613
min1409,female,5.167191017316017
min1409,male,5.385995155279503
min141,female,1.8927878571428571
min141,male,2.3324430641821947
min1410,female,5.322283701298701
min1410,male,5.63164629399586
min1411,female,5.3651895454545455
min1411,male,5.77303966873706
min1412,female,5.482365670995671
min1412,male,5.300786066252588
min1413,female,5.615476363636364
min1413,male,5.307989026915114
min1414,female,5.3225946103896105
min1414,male,5.649345714285714
min1415,female,5.157633917748917
min1415,male,5.500396438923396
min1416,female,4.808630974025974
min1416,male,5.338779565217392
min1417,female,4.882192575757576
min1417,male,5.549232298136646
min1418,female,5.182807380952381
min1418,male,5.231801532091097
min1419,female,4.565690476190476
min1419,male,4.9604566666666665
min142,female,1.7657462337662337
min142,male,2.0558292960662525
min1420,female,5.051943809523809
min1420,male,5.171237101449275
min1421,female,5.073070497835498
min1421,male,5.030199979296066
